Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Danny Dyszelski,14,2023,USF2000,Velocity Racing Development,10.62,-0.39,-3.31,-0.37,,,10.49,0.74,48.8,20.0,68.8,59.7,84.7,86.8,77.0,93.6,78.1
Danny Dyszelski,13,2022,USF2000,Jay Howard Driver Development,13.93,-0.02,,,,,13.8,1.11,48.8,0.0,48.8,59.7,84.7,86.8,77.0,93.6,78.1
Bobby Eberle,46,2015,USF Pro 2000,World Speed Motorsports,14.4,1.0862,,,,,14.4,1.09,50.5,-25.0,25.5,1.2,51.4,36.8,55.8,35.8,26.2
Bobby Eberle,47,2016,USF Pro 2000,World Speed Motorsports,8.0,-0.6857,-6.4,-1.7719,,,8.0,-0.69,50.5,-25.0,25.5,1.2,51.4,36.8,55.8,35.8,26.2
Bobby Eberle,48,2017,USF Pro 2000,World Speed Motorsports,8.33,-0.7132,0.33,-0.0275,,,8.33,-0.71,50.5,-25.0,25.5,1.2,51.4,36.8,55.8,35.8,26.2
Jake Eidson,19,2015,USF2000,Pabst Racing,2.94,-1.5066,,,,,2.81,-0.38,80.5,0.0,80.5,59.6,92.9,99.4,87.0,100.0,84.1
Ariel Elkin,17,2025,USF Pro 2000,TJ Speed,5.12,-2.68,-2.26,-0.14,,,5.12,-2.68,86.6,1.5,87.1,93.7,95.2,85.6,99.3,88.0,90.8
Ariel Elkin,16,2024,USF Juniors,InterMS,7.38,-2.54,,,,,9.01,-1.19,86.6,0.0,86.1,93.7,95.2,85.6,99.3,88.0,90.8
Kory Enders,19,2017,USF2000,DEForce Racing,11.29,1.8982,,,,,11.16,3.03,52.3,0.0,52.3,55.8,79.9,87.8,77.9,81.0,73.3
Kory Enders,20,2018,USF2000,DEForce Racing,11.86,-1.2297,0.57,-3.1279,,,11.73,-0.1,52.3,0.0,52.3,55.8,79.9,87.8,77.9,81.0,73.3
Kory Enders,21,2019,USF Pro 2000,DEForce Racing,8.5,-0.4722,-3.36,0.7575,,,8.5,-0.47,52.3,0.0,52.3,55.8,79.9,87.8,77.9,81.0,73.3
Kory Enders,22,2020,USF Pro 2000,DEForce Racing,10.8,2.7313,2.3,3.2035,,,10.8,2.73,52.3,0.0,52.3,55.8,79.9,87.8,77.9,81.0,73.3
Leonardo Escorpioni,15,2025,USF Juniors,Zanella,3.19,-2.07,-9.69,-1.41,,,4.82,-0.72,56.6,0.0,56.6,,95.2,93.1,96.7,,
Leonardo Escorpioni,14,2024,USF Juniors,Zanella,12.88,-0.66,,,,,14.51,0.69,56.6,5.0,61.6,,95.2,93.1,96.7,,
Ricardo Escotto,19,2024,USF Pro 2000,BN Racing,9.83,-1.06,-3.34,-2.27,Yes,,9.83,-1.06,45.4,0.0,45.4,28.9,83.2,85.0,80.8,77.6,62.5
Ricardo Escotto,18,2023,USF Pro 2000,Jay Howard Driver Development,13.17,1.21,,,Yes,,13.17,1.21,45.4,0.0,45.4,28.9,83.2,85.0,80.8,77.6,62.5
Carson Etter,18,2023,USF Juniors,DC,11.31,0.85,,,Yes,,12.94,2.2,34.9,0.0,34.9,32.5,68.7,71.9,66.2,60.7,54.1
Carson Etter,19,2024,USF2000,DC,14.67,1.88,3.36,1.03,Yes,,14.54,3.01,34.9,0.0,34.9,32.5,68.7,71.9,66.2,60.7,54.1
Carson Etter,20,2025,USF Pro 2000,Exclusive Autosport,14.72,5.96,0.05,4.08,,,14.72,5.96,34.9,0.0,34.9,32.5,68.7,71.9,66.2,60.7,54.1
Erik Evans,17,2021,USF2000,Velocity Racing Development,17.75,0.0,,,,,17.62,1.13,30.5,1.2,31.7,,75.4,75.3,71.7,70.3,46.8
Braden Eves,19,2019,USF2000,Cape Motorsports,3.53,-1.76,,,,,3.4,-0.63,75.9,0.0,75.9,79.9,90.6,88.7,91.4,91.2,86.7
